verb_id,словарная_форма,чтение,romaji,значение_ru,jlpt,тип_глагола,основа_romaji,masu_основа,простая_прошедшая,te_форма,nai_форма,условная_ba,условная_tara,потенциальная_словарная,потенциальная_разг_без_ra,страдательная_словарная,побудительная_словарная,побудительно_страдательная_словарная,повелительная,запретительная,волевая,tai_база,nakereba,nakya,nakucha,ru_inf_ipf,ru_inf_pf,ru_present_1sg,ru_future_1sg,ru_past_ipf_mf,ru_past_pf_mf,ru_future_pf_1sg,ru_conditional_pf_1sg,ru_gerund_pf,ru_imperative_2sg,ru_1pl_pf,ru_passive_hint,ru_causative_hint,ru_causative_passive_hint,chunk_base_jp,chunk_neg_base_jp,chunk_dict_medium_jp,chunk_dict_medium_label,chunk_dict_hard_jp,chunk_dict_hard_label,chunk_masu_link_jp,chunk_masu_link_label,chunk_nai_link_jp,chunk_nai_link_label,chunk_ba_link_medium_jp,chunk_ba_link_medium_label,chunk_ba_link_hard_jp,chunk_ba_link_hard_label,chunk_te_medium_jp,chunk_te_medium_label,chunk_te_hard_jp,chunk_te_hard_label,chunk_ta_medium_jp,chunk_ta_medium_label,chunk_ta_hard_jp,chunk_ta_hard_label,chunk_potential_medium_jp,chunk_potential_medium_label,chunk_potential_hard_jp,chunk_potential_hard_label,chunk_passive_medium_jp,chunk_passive_medium_label,chunk_passive_hard_jp,chunk_passive_hard_label,chunk_causative_medium_jp,chunk_causative_medium_label,chunk_causative_hard_jp,chunk_causative_hard_label,chunk_causative_passive_medium_jp,chunk_causative_passive_medium_label,chunk_causative_passive_hard_jp,chunk_causative_passive_hard_label,chunk_imperative_medium_jp,chunk_imperative_medium_label,chunk_imperative_hard_jp,chunk_imperative_hard_label,chunk_volitional_medium_jp,chunk_volitional_medium_label,chunk_volitional_hard_jp,chunk_volitional_hard_label,chunk_stem_distractors_label,chunk_ranuki_medium_jp,chunk_ranuki_medium_label,chunk_ranuki_hard_jp,chunk_ranuki_hard_label
uketoru,受け取る,うけとる,uketoru,"получать, принимать",N3,godan-ru,uketo,受け取り,受け取った,受け取って,受け取らない,受け取れば,受け取ったら,受け取れる,,受け取られる,受け取らせる,受け取らせられる,受け取れ,受け取るな,受け取ろう,受け取りたい,受け取らなければ,受け取らなきゃ,受け取らなくちゃ,получать / принимать,получить / принять,получаю / принимаю,буду получать / принимать,получал(а) / принимал(а),получил(а) / принял(а),получу / приму,получу / приму,получив / приняв,получи / прими,получим / примем,быть подвергнутым действию «получать / принимать»,заставить / разрешить: получить / принять,быть вынужденным: получить / принять,受け取,受け取,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
ugokasu,動かす,うごかす,ugokasu,двигать; приводить в действие,N3,godan-su,ugokas,動かし,動かした,動かして,動かさない,動かせば,動かしたら,動かせる,,動かされる,動かさせる,動かさせられる,動かせ,動かすな,動かそう,動かしたい,動かさなければ,動かさなきゃ,動かさなくちゃ,двигать / приводить,сдвинуть / привести,двигаю / привожу,буду двигать / приводить,двигал(а) / приводил(а),сдвинул(а) / привёл(ла),сдвину / приведу,сдвину / приведу,сдвинув / приведя,двигай / приведи,сдвинем / приведём,пассив: действие «двигать / приводить» направлено на субъект,заставить / разрешить: сдвинуть / привести,быть вынужденным: сдвинуть / привести,動か,動か,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,
ushinau,失う,うしなう,ushinau,терять; лишаться,N3,godan-u,ushina,失い,失った,失って,失わない,失えば,失ったら,失える,,失われる,失わせる,失わせられる,失え,失うな,失おう,失いたい,失わなければ,失わなきゃ,失わなくちゃ,терять / лишаться,потерять / лишиться,теряю / лишаюсь,буду терять / лишаться,терял(а) / лишался(ась),потерял(а) / лишился(ась),потеряю / лишусь,потеряю / лишусь,потеряв / лишившись,не потеряй,не потеряем,пассив: действие «терять / лишаться» направлено на субъект,заставить / разрешить: потерять / лишиться,быть вынужденным: потерять / лишиться,失,失,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
utagau,疑う,うたがう,utagau,сомневаться; подозревать,N3,godan-u,utaga,疑い,疑った,疑って,疑わない,疑えば,疑ったら,疑える,,疑われる,疑わせる,疑わせられる,疑え,疑うな,疑おう,疑いたい,疑わなければ,疑わなきゃ,疑わなくちゃ,сомневаться / подозревать,усомниться / заподозрить,сомневаюсь / подозреваю,буду сомневаться / подозревать,сомневался(ась) / подозревал(а),усомнился(ась) / заподозрил(а),усомнюсь / заподозрю,усомнюсь / заподозрю,усомнившись / заподозрив,сомневайся / заподозри,усомнимся / заподозрим,пассив: действие «сомневаться / подозревать» направлено на субъект,заставить / разрешить: усомниться / заподозрить,быть вынужденным: усомниться / заподозрить,疑,疑,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
uttaeru,訴える,うったえる,uttaeru,жаловаться; обращаться в суд,N3,ichidan,uttae,訴え,訴えた,訴えて,訴えない,訴えれば,訴えたら,訴えられる,訴えれる,訴えられる,訴えさせる,訴えさせられる,訴えろ,訴えるな,訴えよう,訴えたい,訴えなければ,訴えなきゃ,訴えなくちゃ,жаловаться / обращаться,пожаловаться / обратиться,жалуюсь / обращаюсь,буду жаловаться / обращаться,жаловался(ась) / обращался(ась),пожаловался(ась) / обратился(ась),пожалуюсь / обращусь,пожалуюсь / обращусь,пожаловавшись / обратившись,пожалуйся / обратись,пожалуемся / обратимся,пассив: действие «жаловаться / обращаться» направлено на субъект,заставить / разрешить: пожаловаться / обратиться,быть вынужденным: пожаловаться / обратиться,訴え,訴え,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
utsu_2,撃つ,うつ,utsu,стрелять,N3,godan-tsu,uts,撃ち,撃った,撃って,撃たない,撃てば,撃ったら,撃てる,,撃たれる,撃たせる,撃たせられる,撃て,撃つな,撃とう,撃ちたい,撃たなければ,撃たなきゃ,撃たなくちゃ,стрелять,выстрелить,стреляю,буду стрелять,стрелял(а),выстрелил(а),выстрелю,выстрелю,выстрелив,стреляй,выстрелим,пассив: действие «стрелять» направлено на субъект,заставить / разрешить: выстрелить,быть вынужденным: выстрелить,撃,撃,つ,tsu,つ,tsu,ち,chi,た,ta,て,te,て,te,って,tte,って,tte,った,tta,った,tta,て,te,て,te,たれ,tare,た|れ,ta|re,たせ,tase,た|せ,ta|se,たせられ,taserare,た|せ|ら|れ,ta|se|ra|re,て,te,て,te,とう,tou,と|う,to|u,ta|chi|te|to,,,,
utsusu_2,映す,うつす,utsusu,отражать; проецировать,N3,godan-su,utsus,映し,映した,映して,映さない,映せば,映したら,映せる,,映される,映させる,映させられる,映せ,映すな,映そう,映したい,映さなければ,映さなきゃ,映さなくちゃ,отражать / проецировать,отразить / спроецировать,отражаю / проецирую,буду отражать / проецировать,отражал(а) / проецировал(а),отразил(а) / спроецировал(а),отражу / спроецирую,отражу / спроецирую,отразив / спроецировав,отрази / спроецируй,отразим / спроецируем,пассив: действие «отражать / проецировать» направлено на субъект,заставить / разрешить: отразить / спроецировать,быть вынужденным: отразить / спроецировать,映,映,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,
utsuru_2,写る,うつる,utsuru,получаться на фотографии,N3,godan-ru,utsu,写り,写った,写って,写らない,写れば,写ったら,写れる,,写られる,写らせる,写らせられる,写れ,写るな,写ろう,写りたい,写らなければ,写らなきゃ,写らなくちゃ,получаться на фото,получиться на фото,получается на фото,буду получаться на фото,получалось на фото,получилось на фото,получится на фото,получится на фото,получившись,—,—,пассив: действие «получаться на фото» направлено на субъект,заставить / разрешить: получиться на фото,быть вынужденным: получиться на фото,写,写,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
utsuru_3,映る,うつる,utsuru,отражаться; показываться,N3,godan-ru,utsu,映り,映った,映って,映らない,映れば,映ったら,映れる,,映られる,映らせる,映らせられる,映れ,映るな,映ろう,映りたい,映らなければ,映らなきゃ,映らなくちゃ,отражаться / показываться,отразиться / показаться,отражается / показывается,буду отражаться / показываться,отражалось / показывалось,отразилось / показалось,отразится / покажется,отразится / покажется,отразившись / показавшись,—,—,пассив: действие «отражаться / показываться» направлено на субъект,заставить / разрешить: отразиться / показаться,быть вынужденным: отразиться / показаться,映,映,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
ubau,奪う,うばう,ubau,отнимать; лишать,N3,godan-u,uba,奪い,奪った,奪って,奪わない,奪えば,奪ったら,奪える,,奪われる,奪わせる,奪わせられる,奪え,奪うな,奪おう,奪いたい,奪わなければ,奪わなきゃ,奪わなくちゃ,отнимать / лишать,отнять / лишить,отнимаю / лишаю,буду отнимать / лишать,отнимал(а) / лишал(а),отнял(а) / лишил(а),отниму / лишу,отниму / лишу,отняв / лишив,отними / лиши,отнимем / лишим,пассив: действие «отнимать / лишать» направлено на субъект,заставить / разрешить: отнять / лишить,быть вынужденным: отнять / лишить,奪,奪,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
umeru,埋める,うめる,umeru,закапывать; заполнять,N3,ichidan,ume,埋め,埋めた,埋めて,埋めない,埋めれば,埋めたら,埋められる,埋めれる,埋められる,埋めさせる,埋めさせられる,埋めろ,埋めるな,埋めよう,埋めたい,埋めなければ,埋めなきゃ,埋めなくちゃ,закапывать / заполнять,закопать / заполнить,закапываю / заполняю,буду закапывать / заполнять,закапывал(а) / заполнял(а),закопал(а) / заполнил(а),закопаю / заполню,закопаю / заполню,закопав / заполнив,закопай / заполни,закопаем / заполним,пассив: действие «закапывать / заполнять» направлено на субъект,заставить / разрешить: закопать / заполнить,быть вынужденным: закопать / заполнить,埋め,埋め,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
uragiru,裏切る,うらぎる,uragiru,предавать,N3,godan-ru,uragi,裏切り,裏切った,裏切って,裏切らない,裏切れば,裏切ったら,裏切れる,,裏切られる,裏切らせる,裏切らせられる,裏切れ,裏切るな,裏切ろう,裏切りたい,裏切らなければ,裏切らなきゃ,裏切らなくちゃ,предавать,предать,предаю,буду предавать,предавал(а),предал(а),предам,предам,предав,не предавай,не предадим,пассив: действие «предавать» направлено на субъект,заставить / разрешить: предать,быть вынужденным: предать,裏切,裏切,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
ureru,売れる,うれる,ureru,продаваться,N3,ichidan,ure,売れ,売れた,売れて,売れない,売れれば,売れたら,売れられる,売れれる,売れられる,売れさせる,売れさせられる,売れろ,売れるな,売れよう,売れたい,売れなければ,売れなきゃ,売れなくちゃ,продаваться,продаться,продаётся,буду продаваться,продавалось,продалось,продастся,продастся,продавшись,—,—,пассив: действие «продаваться» направлено на субъект,заставить / разрешить: продаться,быть вынужденным: продаться,売れ,売れ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
untensuru,運転する,うんてんする,untensuru,водить транспорт,N3,suru,untensu,運転し,運転した,運転して,運転しない,運転すれば,運転したら,運転できる,,運転される,運転させる,運転させられる,運転しろ,運転するな,運転しよう,運転したい,運転しなければ,運転しなきゃ,運転しなくちゃ,водить,повести,вожу,буду водить,водил(а),повёл(ла),поведу,поведу,поведя,веди,поведём,пассив: действие «водить» направлено на субъект,заставить / разрешить: повести,быть вынужденным: повести,運転,運転,する,suru,す|る,su|ru,し,shi,し,shi,すれ,sure,す|れ,su|re,して,shite,し|て,shi|te,した,shita,し|た,shi|ta,でき,deki,でき,deki,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,しろ,shiro,し|ろ,shi|ro,しよう,shiyou,し|よ|う,shi|yo|u,shi|su|deki|sa,,,,
egaku,描く,えがく,egaku,рисовать; изображать,N3,godan-ku,egak,描き,描いた,描いて,描かない,描けば,描いたら,描ける,,描かれる,描かせる,描かせられる,描け,描くな,描こう,描きたい,描かなければ,描かなきゃ,描かなくちゃ,рисовать / изображать,нарисовать / изобразить,рисую / изображаю,буду рисовать / изображать,рисовал(а) / изображал(а),нарисовал(а) / изобразил(а),нарисую / изображу,нарисую / изображу,нарисовав / изобразив,нарисуй / изобрази,нарисуем / изобразим,пассив: действие «рисовать / изображать» направлено на субъект,заставить / разрешить: нарисовать / изобразить,быть вынужденным: нарисовать / изобразить,描,描,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
eru,得る,える,eru,получать; приобретать,N3,ichidan,e,得,得た,得て,得ない,得れば,得たら,得られる,得れる,得られる,得させる,得させられる,得ろ,得るな,得よう,得たい,得なければ,得なきゃ,得なくちゃ,получать / приобретать,получить / приобрести,получаю / приобретаю,буду получать / приобретать,получал(а) / приобретал(а),получил(а) / приобрёл(ла),получу / приобрету,получу / приобрету,получив / приобретя,получи / приобрети,получим / приобретём,пассив: действие «получать / приобретать» направлено на субъект,заставить / разрешить: получить / приобрести,быть вынужденным: получить / приобрести,得,得,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
oitsuku,追い付く,おいつく,oitsuku,догонять,N3,godan-ku,oitsuk,追い付き,追い付いた,追い付いて,追い付かない,追い付けば,追い付いたら,追い付ける,,追い付かれる,追い付かせる,追い付かせられる,追い付け,追い付くな,追い付こう,追い付きたい,追い付かなければ,追い付かなきゃ,追い付かなくちゃ,догонять,догнать,догоняю,буду догонять,догонял(а),догнал(а),догоню,догоню,догнав,догони,догоним,пассив: действие «догонять» направлено на субъект,заставить / разрешить: догнать,быть вынужденным: догнать,追い付,追い付,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
ou,追う,おう,ou,преследовать; гнаться,N3,godan-u,o,追い,追った,追って,追わない,追えば,追ったら,追える,,追われる,追わせる,追わせられる,追え,追うな,追おう,追いたい,追わなければ,追わなきゃ,追わなくちゃ,преследовать / гнаться,погнаться,преследую / гонюсь,буду преследовать / гнаться,преследовал(а) / гнался(ась),погнался(ась),погонюсь,погонюсь,погнавшись,гонись,погонимся,пассив: действие «преследовать / гнаться» направлено на субъект,заставить / разрешить: погнаться,быть вынужденным: погнаться,追,追,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
oujiru,応じる,おうじる,oujiru,реагировать; соответствовать,N3,ichidan,ouji,応じ,応じた,応じて,応じない,応じれば,応じたら,応じられる,応じれる,応じられる,応じさせる,応じさせられる,応じろ,応じるな,応じよう,応じたい,応じなければ,応じなきゃ,応じなくちゃ,реагировать / соответствовать,отреагировать / согласиться,реагирую / соответствую,буду реагировать / соответствовать,реагировал(а) / соответствовал(а),отреагировал(а) / согласился(ась),отреагирую / соглашусь,отреагирую / соглашусь,отреагировав / согласившись,отреагируй / согласись,отреагируем / согласимся,пассив: действие «реагировать / соответствовать» направлено на субъект,заставить / разрешить: отреагировать / согласиться,быть вынужденным: отреагировать / согласиться,応じ,応じ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
oeru,終える,おえる,oeru,заканчивать,N3,ichidan,oe,終え,終えた,終えて,終えない,終えれば,終えたら,終えられる,終えれる,終えられる,終えさせる,終えさせられる,終えろ,終えるな,終えよう,終えたい,終えなければ,終えなきゃ,終えなくちゃ,заканчивать,закончить,заканчиваю,буду заканчивать,заканчивал(а),закончил(а),закончу,закончу,закончив,закончи,закончим,пассив: действие «заканчивать» направлено на субъект,заставить / разрешить: закончить,быть вынужденным: закончить,終え,終え,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
oou,覆う,おおう,oou,покрывать; накрывать,N3,godan-u,oo,覆い,覆った,覆って,覆わない,覆えば,覆ったら,覆える,,覆われる,覆わせる,覆わせられる,覆え,覆うな,覆おう,覆いたい,覆わなければ,覆わなきゃ,覆わなくちゃ,покрывать / накрывать,покрыть / накрыть,покрываю / накрываю,буду покрывать / накрывать,покрывал(а) / накрывал(а),покрыл(а) / накрыл(а),покрою / накрою,покрою / накрою,покрыв / накрыв,покрой / накрой,покроем / накроем,пассив: действие «покрывать / накрывать» направлено на субъект,заставить / разрешить: покрыть / накрыть,быть вынужденным: покрыть / накрыть,覆,覆,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
okuru_2,贈る,おくる,okuru,дарить,N3,godan-ru,oku,贈り,贈った,贈って,贈らない,贈れば,贈ったら,贈れる,,贈られる,贈らせる,贈らせられる,贈れ,贈るな,贈ろう,贈りたい,贈らなければ,贈らなきゃ,贈らなくちゃ,дарить,подарить,дарю,буду дарить,дарил(а),подарил(а),подарю,подарю,подарив,подари,подарим,пассив: действие «дарить» направлено на субъект,заставить / разрешить: подарить,быть вынужденным: подарить,贈,贈,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
okoru_2,起こる,おこる,okoru,происходить; случаться,N3,godan-ru,oko,起こり,起こった,起こって,起こらない,起これば,起こったら,起これる,,起こられる,起こらせる,起こらせられる,起これ,起こるな,起ころう,起こりたい,起こらなければ,起こらなきゃ,起こらなくちゃ,происходить / случаться,произойти / случиться,происходит / случается,буду происходить / случаться,происходило / случалось,произошло / случилось,произойдёт / случится,произойдёт / случится,произойдя / случившись,—,—,пассив: действие «происходить / случаться» направлено на субъект,заставить / разрешить: произойти / случиться,быть вынужденным: произойти / случиться,起こ,起こ,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
osaeru,抑える,おさえる,osaeru,сдерживать; удерживать,N3,ichidan,osae,抑え,抑えた,抑えて,抑えない,抑えれば,抑えたら,抑えられる,抑えれる,抑えられる,抑えさせる,抑えさせられる,抑えろ,抑えるな,抑えよう,抑えたい,抑えなければ,抑えなきゃ,抑えなくちゃ,сдерживать / удерживать,сдержать / удержать,сдерживаю / удерживаю,буду сдерживать / удерживать,сдерживал(а) / удерживал(а),сдержал(а) / удержал(а),сдержу / удержу,сдержу / удержу,сдержав / удержав,сдержи / удержи,сдержим / удержим,пассив: действие «сдерживать / удерживать» направлено на субъект,заставить / разрешить: сдержать / удержать,быть вынужденным: сдержать / удержать,抑え,抑え,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
osameru,収める,おさめる,osameru,помещать; добиваться,N3,ichidan,osame,収め,収めた,収めて,収めない,収めれば,収めたら,収められる,収めれる,収められる,収めさせる,収めさせられる,収めろ,収めるな,収めよう,収めたい,収めなければ,収めなきゃ,収めなくちゃ,помещать / добиваться,поместить / добиться,помещаю / добиваюсь,буду помещать / добиваться,помещал(а) / добивался(ась),поместил(а) / добился(ась),помещу / добьюсь,помещу / добьюсь,поместив / добившись,помести / добейся,поместим / добьёмся,пассив: действие «помещать / добиваться» направлено на субъект,заставить / разрешить: поместить / добиться,быть вынужденным: поместить / добиться,収め,収め,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
osoreru,恐れる,おそれる,osoreru,бояться,N3,ichidan,osore,恐れ,恐れた,恐れて,恐れない,恐れれば,恐れたら,恐れられる,恐れれる,恐れられる,恐れさせる,恐れさせられる,恐れろ,恐れるな,恐れよう,恐れたい,恐れなければ,恐れなきゃ,恐れなくちゃ,бояться,испугаться,боюсь,буду бояться,боялся(ась),испугался(ась),испугаюсь,испугаюсь,испугавшись,не бойся,не испугаемся,пассив: действие «бояться» направлено на субъект,заставить / разрешить: испугаться,быть вынужденным: испугаться,恐れ,恐れ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
osowaru,教わる,おそわる,osowaru,обучаться у кого-то,N3,godan-ru,osowa,教わり,教わった,教わって,教わらない,教われば,教わったら,教われる,,教わられる,教わらせる,教わらせられる,教われ,教わるな,教わろう,教わりたい,教わらなければ,教わらなきゃ,教わらなくちゃ,обучаться,научиться,учусь,буду обучаться,учился(ась),научился(ась),научусь,научусь,научившись,учись,научимся,пассив: действие «обучаться» направлено на субъект,заставить / разрешить: научиться,быть вынужденным: научиться,教わ,教わ,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
otoru,劣る,おとる,otoru,уступать; быть хуже,N3,godan-ru,oto,劣り,劣った,劣って,劣らない,劣れば,劣ったら,劣れる,,劣られる,劣らせる,劣らせられる,劣れ,劣るな,劣ろう,劣りたい,劣らなければ,劣らなきゃ,劣らなくちゃ,уступать,уступить,уступаю,буду уступать,уступал(а),уступил(а),уступлю,уступлю,уступив,—,—,пассив: действие «уступать» направлено на субъект,заставить / разрешить: уступить,быть вынужденным: уступить,劣,劣,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
